id;nome;cidade;pais;capacidade;ativo
1;Mexico City Stadium;Cidade do México;México;80824;true
2;Guadalajara Stadium;Guadalajara;México;45664;true
3;Monterrey Stadium;Monterrey;México;51243;true
4;Toronto Stadium;Toronto;Canadá;43036;true
5;BC Place Vancouver;Vancouver;Canadá;52497;true
6;Atlanta Stadium;Atlanta;Estados Unidos;68239;true
7;Boston Stadium;Boston;Estados Unidos;64146;true
8;Dallas Stadium;Dallas;Estados Unidos;70649;true
9;Houston Stadium;Houston;Estados Unidos;68777;true
10;Kansas City Stadium;Kansas City;Estados Unidos;69045;true
11;Los Angeles Stadium;Los Angeles;Estados Unidos;70492;true
12;Miami Stadium;Miami;Estados Unidos;64478;true
13;New York New Jersey Stadium;New York/New Jersey;Estados Unidos;80663;true
14;Philadelphia Stadium;Philadelphia;Estados Unidos;68324;true
15;San Francisco Bay Area Stadium;San Francisco;Estados Unidos;68827;true
16;Seattle Stadium;Seattle;Estados Unidos;66925;true
