id;fase;grupo;data;idEstadio;idTimeA;idTimeB;golsA;golsB;realizado;idVencedorPenaltis;ativo
1;Grupo;A;11/06/2026;1;1;2;2;1;true;0;true
2;Grupo;A;11/06/2026;2;3;4;1;1;true;0;true
3;Grupo;A;18/06/2026;3;4;2;0;2;true;0;true
4;Grupo;A;18/06/2026;4;1;3;3;2;true;0;true
5;Grupo;A;24/06/2026;5;4;1;1;2;true;0;true
6;Grupo;A;24/06/2026;6;2;3;2;2;true;0;true
7;Grupo;B;12/06/2026;7;5;6;1;1;true;0;true
8;Grupo;B;12/06/2026;8;7;8;0;2;true;0;true
9;Grupo;B;19/06/2026;9;8;6;3;1;true;0;true
10;Grupo;B;19/06/2026;10;5;7;2;0;true;0;true
11;Grupo;B;25/06/2026;11;8;5;1;1;true;0;true
12;Grupo;B;25/06/2026;12;6;7;2;1;true;0;true
13;Grupo;C;13/06/2026;13;9;10;2;2;true;0;true
14;Grupo;C;13/06/2026;14;11;12;0;1;true;0;true
15;Grupo;C;20/06/2026;15;12;10;1;0;true;0;true
16;Grupo;C;20/06/2026;16;9;11;4;1;true;0;true
17;Grupo;C;26/06/2026;1;12;9;1;3;true;0;true
18;Grupo;C;26/06/2026;2;10;11;2;0;true;0;true
19;Grupo;D;14/06/2026;3;13;14;3;0;true;0;true
20;Grupo;D;14/06/2026;4;15;16;1;1;true;0;true
21;Grupo;D;21/06/2026;5;16;14;2;1;true;0;true
22;Grupo;D;21/06/2026;6;13;15;2;2;true;0;true
23;Grupo;D;27/06/2026;7;16;13;0;2;true;0;true
24;Grupo;D;27/06/2026;8;14;15;1;0;true;0;true
25;Grupo;E;15/06/2026;9;17;18;4;0;true;0;true
26;Grupo;E;15/06/2026;10;19;20;1;2;true;0;true
27;Grupo;E;22/06/2026;11;20;18;2;2;true;0;true
28;Grupo;E;22/06/2026;12;17;19;3;1;true;0;true
29;Grupo;E;28/06/2026;13;20;17;1;2;true;0;true
30;Grupo;E;28/06/2026;14;18;19;0;0;true;0;true
31;Grupo;F;15/06/2026;15;21;22;1;1;true;0;true
32;Grupo;F;15/06/2026;16;23;24;2;0;true;0;true
33;Grupo;F;22/06/2026;1;24;22;1;3;true;0;true
34;Grupo;F;22/06/2026;2;21;23;2;2;true;0;true
35;Grupo;F;28/06/2026;3;24;21;0;1;true;0;true
36;Grupo;F;28/06/2026;4;22;23;2;1;true;0;true
37;Grupo;G;16/06/2026;5;25;26;1;0;true;0;true
38;Grupo;G;16/06/2026;6;27;28;2;2;true;0;true
39;Grupo;G;23/06/2026;7;28;26;1;3;true;0;true
40;Grupo;G;23/06/2026;8;25;27;0;0;true;0;true
41;Grupo;G;29/06/2026;9;28;25;1;2;true;0;true
42;Grupo;G;29/06/2026;10;26;27;2;1;true;0;true
43;Grupo;H;16/06/2026;11;29;30;3;0;true;0;true
44;Grupo;H;16/06/2026;12;31;32;1;1;true;0;true
45;Grupo;H;23/06/2026;13;32;30;2;0;true;0;true
46;Grupo;H;23/06/2026;14;29;31;2;2;true;0;true
47;Grupo;H;29/06/2026;15;32;29;1;3;true;0;true
48;Grupo;H;29/06/2026;16;30;31;0;1;true;0;true
49;Grupo;I;17/06/2026;1;33;34;2;1;true;0;true
50;Grupo;I;17/06/2026;2;35;36;0;0;true;0;true
51;Grupo;I;24/06/2026;3;36;34;1;2;true;0;true
52;Grupo;I;24/06/2026;4;33;35;3;0;true;0;true
53;Grupo;I;30/06/2026;5;36;33;1;2;true;0;true
54;Grupo;I;30/06/2026;6;34;35;2;2;true;0;true
55;Grupo;J;17/06/2026;7;37;38;1;1;true;0;true
56;Grupo;J;17/06/2026;8;39;40;0;2;true;0;true
57;Grupo;J;24/06/2026;9;40;38;3;1;true;0;true
58;Grupo;J;24/06/2026;10;37;39;2;0;true;0;true
59;Grupo;J;30/06/2026;11;40;37;2;2;true;0;true
60;Grupo;J;30/06/2026;12;38;39;1;0;true;0;true
61;Grupo;K;18/06/2026;13;41;42;2;0;true;0;true
62;Grupo;K;18/06/2026;14;43;44;1;2;true;0;true
63;Grupo;K;25/06/2026;15;44;42;3;1;true;0;true
64;Grupo;K;25/06/2026;16;41;43;2;2;true;0;true
65;Grupo;K;01/07/2026;1;44;41;1;1;true;0;true
66;Grupo;K;01/07/2026;2;42;43;0;1;true;0;true
67;Grupo;L;18/06/2026;3;45;46;2;1;true;0;true
68;Grupo;L;18/06/2026;4;47;48;1;1;true;0;true
69;Grupo;L;25/06/2026;5;48;46;0;2;true;0;true
70;Grupo;L;25/06/2026;6;45;47;3;0;true;0;true
71;Grupo;L;01/07/2026;7;48;45;1;2;true;0;true
72;Grupo;L;01/07/2026;8;46;47;2;2;true;0;true
73;16avos;;28/06/2026;1;1;33;1;2;true;0;true
74;16avos;;28/06/2026;2;2;34;2;1;true;0;true
75;16avos;;28/06/2026;3;8;40;2;1;true;0;true
76;16avos;;28/06/2026;4;5;37;2;1;true;0;true
77;16avos;;28/06/2026;5;9;44;2;1;true;0;true
78;16avos;;28/06/2026;6;12;41;2;1;true;0;true
79;16avos;;28/06/2026;7;13;45;2;1;true;0;true
80;16avos;;28/06/2026;8;16;46;2;1;true;0;true
81;16avos;;28/06/2026;9;17;23;2;1;true;0;true
82;16avos;;28/06/2026;10;20;10;2;1;true;0;true
83;16avos;;28/06/2026;11;22;32;2;1;true;0;true
84;16avos;;28/06/2026;12;21;43;2;1;true;0;true
85;16avos;;28/06/2026;13;25;6;2;1;true;0;true
86;16avos;;28/06/2026;14;26;38;2;1;true;0;true
87;16avos;;28/06/2026;15;29;14;2;1;true;0;true
88;16avos;;28/06/2026;16;31;3;2;1;true;0;true
89;Oitavas;;04/07/2026;1;33;2;2;1;true;0;true
90;Oitavas;;04/07/2026;2;8;5;2;1;true;0;true
91;Oitavas;;04/07/2026;3;9;12;2;1;true;0;true
92;Oitavas;;04/07/2026;4;13;16;2;1;true;0;true
93;Oitavas;;04/07/2026;5;17;20;2;2;true;17;true
94;Oitavas;;04/07/2026;6;22;21;2;1;true;0;true
95;Oitavas;;04/07/2026;7;25;26;2;1;true;0;true
96;Oitavas;;04/07/2026;8;29;31;2;1;true;0;true
97;Quartas;;09/07/2026;1;33;8;2;1;true;0;true
98;Quartas;;09/07/2026;2;9;13;2;1;true;0;true
99;Quartas;;09/07/2026;3;17;22;2;1;true;0;true
100;Quartas;;09/07/2026;4;25;29;2;1;true;0;true
101;Semifinal;;14/07/2026;1;33;9;1;2;true;0;true
102;Semifinal;;14/07/2026;2;17;25;2;1;true;0;true
103;3Lugar;;18/07/2026;1;33;25;2;1;true;0;true
104;Final;;19/07/2026;16;9;17;2;1;true;0;true
